Epoch Time,Value
1704094360000,0
1704094380000,0
1704094401000,0
1704094415000,1
1704094417000,1
1704094425000,1
1704094440000,1
1704094461000,1
1704094475000,0
1704094489000,0
1704094500000,0
1704094521000,0
1704094535000,0
1704094553000,0
1704094560000,0
1704094581000,0
1704094596000,1
1704094597000,1
1704094617000,1
1704094620000,1
1704094641000,1
1704094656000,1
1704094680000,1
1704094701000,1
1704094716000,1
1704094740000,1
1704094744000,1
1704094761000,1
1704094775000,1
1704094777000,0
1704094800000,0
1704094809000,0
1704094821000,0
1704094835000,0
1704094837000,1
1704094860000,1
1704094874000,1
1704094881000,1
1704094897000,0
1704094920000,0
1704094938000,0
1704094941000,0
1704094955000,0
1704094958000,0
1704094980000,0
1704095001000,0
1704095002000,0
1704095015000,0
1704095018000,0
1704095040000,0
1704095061000,0
1704095068000,0
1704095074000,0
1704095078000,0
1704095100000,0
1704095121000,0
1704095133000,0
1704095134000,0
1704095139000,1
1704095160000,1
1704095181000,1
1704095196000,1
1704095199000,1
1704095220000,1
1704095241000,1
1704095257000,1
1704095259000,1
1704095260000,1
1704095280000,1
1704095301000,1
1704095317000,1
1704095320000,1
1704095324000,1
1704095340000,1
1704095361000,1
1704095374000,1
1704095380000,0
1704095389000,0
1704095400000,0
1704095421000,0
1704095438000,0
1704095440000,0
1704095453000,0
1704095460000,0
1704095481000,0
1704095496000,0
1704095501000,1
1704095518000,1
1704095520000,1
1704095541000,1
1704095558000,1
1704095561000,1
1704095580000,1
1704095582000,1
1704095601000,1
1704095617000,1
1704095621000,1
1704095640000,1
1704095646000,1
1704095661000,1
1704095679000,1
1704095682000,1
1704095700000,1
1704095710000,1
1704095721000,1
1704095736000,1
1704095742000,1
1704095760000,1
1704095774000,1
1704095781000,1
1704095796000,1
1704095803000,1
1704095820000,1
1704095839000,1
1704095841000,1
1704095857000,1
1704095863000,1
1704095880000,1
1704095901000,1
1704095903000,1
1704095916000,1
1704095923000,1
1704095940000,1
1704095961000,1
1704095967000,1
1704095974000,1
1704095984000,1
1704096000000,1
1704096021000,1
1704096031000,1
1704096037000,1
1704096044000,1
1704096060000,1
1704096081000,1
1704096096000,1
1704096097000,1
1704096104000,1
1704096120000,1
1704096141000,1
1704096155000,1
1704096161000,1
1704096165000,1
1704096180000,1
1704096201000,1
1704096213000,1
1704096225000,1
1704096226000,1
1704096240000,1
1704096261000,1
1704096276000,1
1704096285000,1
1704096290000,1
1704096300000,1
1704096321000,1
1704096337000,1
1704096346000,1
1704096353000,1
1704096360000,1
1704096381000,1
1704096398000,1
1704096406000,1
1704096418000,1
1704096420000,1
1704096441000,1
1704096455000,1
1704096466000,1
1704096480000,1
1704096481000,1
1704096501000,1
